alias,ticker,company,notes
Google,GOOGL,Alphabet Inc.,common brand name for Alphabet
Facebook,META,Meta Platforms Inc.,renamed from Facebook in 2021
TSMC,TSM,Taiwan Semiconductor Manufacturing Co.,US ADR for 2330.TW
Taiwan Semiconductor,TSM,Taiwan Semiconductor Manufacturing Co.,US ADR
Taiwan Semiconductor Manufacturing,TSM,Taiwan Semiconductor Manufacturing Co.,US ADR full name
Sony,SONY,Sony Group Corp.,US ADR
Sony Corp.,SONY,Sony Group Corp.,US ADR
Sony Group,SONY,Sony Group Corp.,US ADR
Toyota,TM,Toyota Motor Corp.,US ADR
Nintendo,NTDOY,Nintendo Co. Ltd.,US ADR (OTC)
Alibaba,BABA,Alibaba Group Holding Ltd.,US ADR
Tencent,TCEHY,Tencent Holdings Ltd.,US ADR (OTC)
Baidu,BIDU,Baidu Inc.,US ADR
NIO,NIO,NIO Inc.,US listed
BYD,BYDDY,BYD Co. Ltd.,US ADR (OTC)
JD,JD,JD.com Inc.,US listed
JD.com,JD,JD.com Inc.,US listed
ARM,ARM,Arm Holdings PLC,US listed
ARM Holdings,ARM,Arm Holdings PLC,US listed
ASML,ASML,ASML Holding NV,US listed
Snap,SNAP,Snap Inc.,US listed
Snapchat,SNAP,Snap Inc.,US listed
Uber,UBER,Uber Technologies Inc.,US listed
Lyft,LYFT,Lyft Inc.,US listed
Spotify,SPOT,Spotify Technology SA,US listed
Roku,ROKU,Roku Inc.,US listed
Pinterest,PINS,Pinterest Inc.,US listed
Square,SQ,Block Inc.,renamed to Block
Block,SQ,Block Inc.,formerly Square
PayPal,PYPL,PayPal Holdings Inc.,already SP500
Shopify,SHOP,Shopify Inc.,US listed
SAP,SAP,SAP SE,US ADR
Novo Nordisk,NVO,Novo Nordisk A/S,US ADR
Pfizer,PFE,Pfizer Inc.,SP500
Coinbase,COIN,Coinbase Global Inc.,US listed
Palantir,PLTR,Palantir Technologies Inc.,US listed
PLTR,PLTR,Palantir Technologies Inc.,ticker
Robinhood,HOOD,Robinhood Markets Inc.,US listed
DoorDash,DASH,DoorDash Inc.,US listed
Rivian,RIVN,Rivian Automotive Inc.,US listed
Lucid,LCID,Lucid Group Inc.,US listed
Lucid Motors,LCID,Lucid Group Inc.,US listed
Berkshire,BRK-B,Berkshire Hathaway Inc.,prefer class B
Berkshire Hathaway,BRK-B,Berkshire Hathaway Inc.,prefer class B
Visa,V,Visa Inc.,SP500
Mastercard,MA,Mastercard Inc.,SP500
